n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16 n17 n18 n19 n20
491	2	66	321	55	74	281	75	626	148	62	489	418	53	0	85	179	207	354	407
66	53	438	74	489	281	176	2	148	491	670	381	321	85	179	626	65	371	55	360
333	306	657	159	536	223	335	669	648	543	36	409	304	347	45	290	334	279	534	649
55	0	491	418	148	614	75	354	626	109	2	442	59	24	378	660	106	179	488	538
361	377	573	111	220	112	343	571	156	54	606	30	544	598	411	36	451	22	541	648
112	54	65	220	528	670	361	223	669	409	573	371	547	111	306	36	363	335	45	648
670	371	669	381	223	64	306	335	304	112	438	54	528	53	61	333	536	56	45	409
60	59	489	321	53	74	491	85	2	148	281	179	438	55	626	176	62	75	418	419
119	276	628	651	637	91	174	629	275	400	440	597	352	113	502	355	362	203	157	38
252	667	423	320	668	659	422	517	444	518	87	216	441	611	516	408	342	526	214	331
317	403	496	384	303	498	350	323	383	228	141	51	435	605	499	181	183	23	301	325
435	498	181	228	267	141	384	183	325	51	233	499	350	383	187	403	317	323	348	496
198	434	227	351	395	322	496	23	317	51	499	576	623	572	181	303	319	14	403	383
499	181	267	187	51	435	233	183	325	141	498	384	317	383	228	434	496	403	350	198
640	470	253	254	424	585	549	548	550	662	535	231	425	118	207	217	503	599	661	109
281	2	53	360	217	626	551	59	207	535	662	379	60	381	304	589	56	585	66	491
626	548	207	418	2	0	491	660	354	109	62	425	585	662	281	550	59	549	535	217
21	274	582	201	413	558	650	465	527	147	305	40	382	349	277	200	375	144	37	345
274	650	21	465	345	527	203	280	40	582	502	144	201	558	349	174	413	275	305	147
40	21	546	236	41	582	146	182	274	200	277	29	553	574	201	382	348	413	147	234
274	21	650	465	527	201	147	558	413	582	345	305	144	40	382	349	200	203	121	502
154	524	155	160	519	520	152	521	329	161	339	136	130	526	153	525	516	331	522	330
547	385	363	111	573	374	64	377	361	584	88	54	653	542	343	340	63	112	528	411
153	484	161	155	486	329	485	338	136	154	487	337	522	129	177	330	524	318	419	102
524	519	154	155	160	520	152	521	339	526	161	329	516	130	331	136	525	517	104	523
107	537	105	158	137	341	102	473	138	103	1	129	289	177	139	332	472	104	330	522
179	489	321	148	55	491	419	66	59	62	472	407	473	60	332	341	378	442	318	106
289	1	108	106	378	473	420	291	158	24	537	138	442	105	288	538	341	213	407	215
441	216	611	422	214	444	408	138	213	158	406	659	518	420	139	342	289	103	423	537
584	468	221	374	463	412	81	343	111	426	377	31	608	541	573	58	539	240	366	542
616	618	474	365	617	591	116	615	590	199	390	172	580	10	173	115	620	58	468	608
180	664	39	234	225	560	348	559	228	315	350	553	574	498	431	323	384	404	325	435
629	637	67	597	276	280	628	651	119	174	400	502	43	203	275	157	440	345	362	230
117	593	600	282	124	95	96	97	296	94	297	299	590	212	591	592	390	615	283	616
117	600	95	593	96	94	282	124	97	296	590	297	591	212	299	615	390	616	592	618
600	117	593	475	114	590	93	161	124	92	487	485	618	282	116	616	591	474	153	115
600	117	93	593	92	475	590	124	114	161	282	487	618	591	485	616	116	474	297	115
600	117	593	93	475	114	590	92	161	124	487	485	618	282	116	591	616	474	153	115
590	124	593	618	616	591	117	114	297	474	615	116	89	475	296	390	600	212	115	621
248	436	508	244	368	302	241	636	512	309	514	632	17	478	128	25	477	554	414	292
567	195	247	445	193	246	529	189	328	312	9	358	633	169	389	530	456	446	568	194
167	530	206	28	389	570	447	457	633	358	169	5	398	356	506	326	193	168	162	446
563	562	134	308	15	52	49	260	565	644	259	630	261	164	149	26	205	256	250	369
137	107	84	341	177	129	332	537	522	419	318	473	330	337	136	158	338	407	1	86
139	342	525	331	130	523	107	339	177	84	129	537	330	521	158	522	526	518	441	137
525	130	177	331	339	139	129	523	521	522	330	342	136	107	84	329	152	537	526	137
537	84	107	341	137	473	158	86	1	332	289	138	407	419	378	129	177	420	472	106
378	442	24	291	614	86	288	538	215	289	473	1	407	55	62	420	354	380	658	0
84	537	105	137	102	341	158	473	129	177	103	86	332	104	139	138	522	330	1	289
291	378	24	288	538	442	86	289	215	614	1	420	380	658	407	354	488	473	213	62
0	418	660	549	661	548	626	75	550	62	254	354	73	662	488	207	2	585	217	640
307	451	22	352	598	355	157	44	344	571	426	353	362	651	42	119	38	594	440	240
573	377	361	63	343	54	374	411	64	547	81	584	220	571	363	542	541	221	598	426
220	54	64	361	36	63	573	409	648	528	544	223	30	306	669	61	156	65	377	333
352	307	119	362	38	355	651	440	157	33	628	276	400	22	44	42	67	275	344	451
475	487	485	474	654	484	618	652	340	161	153	653	616	590	486	364	365	89	82	454
654	474	340	653	365	652	487	364	617	385	88	618	81	484	363	89	178	485	58	547
474	654	365	618	340	653	616	89	487	617	652	475	88	58	620	364	485	484	385	81
593	124	600	97	590	282	296	591	297	212	92	616	615	618	390	299	93	89	94	283
549	379	662	217	535	589	503	254	73	56	253	627	470	640	585	551	588	219	424	207
651	352	113	628	67	355	362	276	440	38	157	174	275	400	307	33	637	203	110	22
500	376	587	586	229	639	638	597	596	279	230	347	629	543	628	30	91	43	534	544
144	275	527	349	38	465	203	401	305	345	174	362	440	400	238	558	502	33	433	113
284	645	196	646	545	483	142	466	10	464	439	480	427	172	173	199	581	655	437	647
497	431	430	272	315	224	560	394	180	404	664	323	225	39	432	90	559	605	234	350
296	297	593	97	591	590	615	390	282	212	616	117	57	618	283	299	89	199	621	592
192	511	370	460	462	7	603	643	20	369	171	641	251	417	513	264	557	18	191	327
643	513	565	641	264	462	327	460	32	459	369	602	603	7	3	511	557	370	630	26
